Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
hurdled,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
impanel,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
infantilize,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
ingurgitating,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
intoxicates,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
intubating,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
jackknifed,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,3.0,0.6,verb.adjective,3.2,3
jimmying,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
knighting,6,4,5,4,0.12,0.8451,0.05,0.6990000000000001,verb,3.0,0.5,verb.adjective,3.3,3
lassoed,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
launders,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
leeched,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
luffing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
mainlining,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
