Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Noun_freq
mudhole,10,8,10,8,0.2,1.0414,0.1,0.9542,noun,10.0,1.0,noun,10,10
pompoon,11,1,0,0,0.22,1.0792,0.01,0.301,noun,10.0,0.91,noun.name,10.1,10
popgun,11,8,11,8,0.22,1.0792,0.1,0.9542,noun,10.0,0.91,noun.verb,10.1,10
popinjay,10,9,8,8,0.2,1.0414,0.11,1.0,noun,10.0,1.0,noun,10,10
towser,12,4,0,0,0.24,1.1139,0.05,0.6990000000000001,noun,10.0,0.91,noun.name,10.1,10
tranquillizer,10,7,8,6,0.2,1.0414,0.08,0.9031,noun,10.0,1.0,noun,10,10
treasons,10,9,8,8,0.2,1.0414,0.11,1.0,noun,10.0,1.0,noun,10,10
vichyssoise,12,12,11,11,0.24,1.1139,0.14,1.1139,noun,10.0,0.83,noun.verb,10.2,10
wagonload,10,8,10,8,0.2,1.0414,0.1,0.9542,noun,10.0,1.0,noun,10,10
weirdoes,10,9,9,8,0.2,1.0414,0.11,1.0,noun,10.0,1.0,noun,10,10
wingding,14,13,14,13,0.27,1.1761,0.15,1.1461,noun,10.0,0.71,noun.verb,10.4,10
afikomen,9,2,5,2,0.18,1.0,0.02,0.4771,noun,9.0,1.0,noun,9,9
backstairs,10,8,10,8,0.2,1.0414,0.1,0.9542,noun,9.0,0.9,noun.verb,9.1,9
bannisters,9,3,2,2,0.18,1.0,0.04,0.6021,noun,9.0,1.0,noun,9,9
beanpole,10,9,9,8,0.2,1.0414,0.11,1.0,noun,9.0,0.9,noun.name,9.1,9
blinis,9,6,7,4,0.18,1.0,0.07,0.8451,noun,9.0,1.0,noun,9,9
bullfighters,9,7,9,7,0.18,1.0,0.08,0.9031,noun,9.0,1.0,noun,9,9
carajo,9,6,7,4,0.18,1.0,0.07,0.8451,noun,9.0,1.0,noun,9,9
corncobs,9,1,8,1,0.18,1.0,0.01,0.301,noun,9.0,1.0,noun,9,9
cotillon,9,1,0,0,0.18,1.0,0.01,0.301,noun,9.0,1.0,noun,9,9
dagos,9,9,8,8,0.18,1.0,0.11,1.0,noun,9.0,1.0,noun,9,9
dunderhead,9,8,9,8,0.18,1.0,0.1,0.9542,noun,9.0,1.0,noun,9,9
feedbag,10,9,9,8,0.2,1.0414,0.11,1.0,noun,9.0,0.9,noun.verb,9.1,9
gismo,12,2,1,1,0.24,1.1139,0.02,0.4771,noun,9.0,0.75,noun.name,9.3,9
gunsel,11,7,9,6,0.22,1.0792,0.08,0.9031,noun,9.0,0.82,noun.verb.name,9.1.1,9
hardhead,11,6,8,4,0.22,1.0792,0.07,0.8451,noun,9.0,0.82,noun.name,9.2,9
hemostat,25,15,10,7,0.49,1.415,0.18,1.2041,verb,16.0,0.64,verb.noun,16.9,9
hootch,9,3,9,3,0.18,1.0,0.04,0.6021,noun,9.0,1.0,noun,9,9
intangibility,9,5,9,5,0.18,1.0,0.06,0.7782,noun,9.0,1.0,noun,9,9
jailbirds,9,8,9,8,0.18,1.0,0.1,0.9542,noun,9.0,1.0,noun,9,9
katzenjammer,14,9,0,0,0.27,1.1761,0.11,1.0,noun,9.0,0.69,noun.name,9.4,9
ladyfish,17,2,1,1,0.33,1.2553,0.02,0.4771,noun,9.0,0.53,noun.name,9.8,9
mailmen,10,8,9,7,0.2,1.0414,0.1,0.9542,noun,9.0,1.0,noun,9,9
mainlander,10,6,3,2,0.2,1.0414,0.07,0.8451,noun,9.0,0.9,noun.name,9.1,9
mayflowers,11,1,0,0,0.22,1.0792,0.01,0.301,noun,9.0,0.82,noun.name,9.2,9
milords,9,5,4,3,0.18,1.0,0.06,0.7782,noun,9.0,1.0,noun,9,9
muscatel,9,8,6,6,0.18,1.0,0.1,0.9542,noun,9.0,1.0,noun,9,9
nincompoops,10,9,10,9,0.2,1.0414,0.11,1.0,noun,9.0,1.0,noun,9,9
