Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Noun_freq,Web_freq
terrarium,11,5,noun,11,11,135123.0
automatics,11,10,noun,11,11,134761.0
auras,11,7,noun,11,11,134666.0
cataclysm,11,10,noun,11,11,134367.0
lasses,11,10,noun,11,11,132411.0
godfathers,12,6,noun,11,11,130454.0
hydrazine,11,2,noun,11,11,130161.0
tamale,12,11,noun.name,11.1,11,129861.0
southerner,11,9,noun,11,11,129539.0
orifices,12,11,noun.verb,11.1,11,129489.0
pinecone,13,6,noun.name,11.2,11,127826.0
teamster,12,12,noun.name,11.1,11,127597.0
saddlebag,13,12,noun.verb.name,11.1.1,11,126113.0
tendrils,11,6,noun,11,11,125670.0
laparotomy,11,10,noun,11,11,125245.0
sandbags,11,11,noun,11,11,125091.0
zoologist,12,10,noun,11,11,124356.0
baggies,13,13,noun.name,11.2,11,124248.0
passersby,12,10,noun.verb,11.1,11,123913.0
stockyards,11,10,noun,11,11,123503.0
workroom,11,10,noun,11,11,123279.0
saviors,11,11,noun,11,11,123112.0
peon,11,11,noun,11,11,122953.0
amyl,11,7,noun,11,11,122329.0
mezuzah,13,5,noun.interjection,11.2,11,121735.0
arpeggios,11,6,noun,11,11,121603.0
heterosexuality,11,10,noun,11,11,121561.0
prankster,11,10,noun,11,11,121166.0
confidences,11,11,noun,11,11,118549.0
motorcars,11,9,noun,11,11,115390.0
chauvinism,12,11,noun,11,11,115163.0
scoutmaster,11,9,noun,11,11,112766.0
hoofs,12,7,noun.verb,11.1,11,112318.0
constrictor,12,8,noun,11,11,112280.0
hematuria,11,6,noun,11,11,111462.0
chippers,11,2,noun,11,11,110348.0
irregulars,11,9,noun,11,11,110298.0
urd,21,3,noun.name,11.10,11,109986.0
outbuilding,11,7,noun,11,11,109799.0
doctoring,26,22,verb.noun.adjective,12.11.3,11,108297.0
junco,15,1,noun.name,11.4,11,107991.0
sainthood,11,11,noun,11,11,106999.0
smooch,24,16,verb.noun,13.11,11,106896.0
aryans,12,5,noun,11,11,106709.0
slivers,11,10,noun,11,11,106560.0
snowblower,16,5,noun.verb,11.4,11,106495.0
quesadilla,11,11,noun,11,11,105879.0
begonias,11,11,noun,11,11,105816.0
boppers,11,5,noun,11,11,105620.0
undertakers,11,11,noun,11,11,104514.0
brouhaha,11,11,noun,11,11,104024.0
showstopper,11,7,noun,11,11,103308.0
tigress,14,14,noun.verb,11.2,11,102247.0
stratagem,11,10,noun,11,11,102226.0
dagon,19,3,noun.name,11.8,11,102202.0
thespian,17,14,noun.adjective,11.6,11,100582.0
chopstick,13,10,noun.name,11.2,11,100363.0
emissaries,11,10,noun,11,11,98654.0
compulsions,11,11,noun,11,11,97765.0
derringer,18,16,noun.name,11.7,11,97245.0
osteopath,11,8,noun,11,11,96216.0
gonad,11,2,noun,11,11,95676.0
grazer,16,3,noun.name,11.5,11,95350.0
buttonhole,11,10,noun,11,11,95261.0
noblemen,11,11,noun,11,11,93794.0
julep,18,12,noun.name.verb,11.2.1,11,93700.0
jangle,17,9,noun.verb.name,11.4.2,11,93580.0
matzah,13,4,noun.interjection,11.2,11,93344.0
salesmanship,11,11,noun,11,11,91437.0
twitches,17,7,noun.verb,11.6,11,91016.0
anteater,11,11,noun,11,11,90505.0
tollbooth,11,10,noun,11,11,90399.0
symbiont,12,1,noun.verb,11.1,11,90239.0
cartwheel,15,15,noun.verb,11.4,11,90158.0
gunships,11,9,noun,11,11,89994.0
sabes,19,10,noun.verb.name,11.5.3,11,89001.0
godparents,11,8,noun,11,11,88991.0
escapee,11,10,noun,11,11,87597.0
councilmen,11,11,noun,11,11,86884.0
potentate,12,11,noun.verb,11.1,11,85499.0
porcupines,14,11,noun.verb,11.2,11,85313.0
frocks,14,13,noun.name.verb,11.2.1,11,84430.0
