Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
unto,389,251,373,246,7.63,2.5911,2.99,2.4014,Preposition,389.0,1.0,Preposition,389,389
amongst,364,322,348,311,7.14,2.5623,3.84,2.5092,Preposition,364.0,1.0,Preposition,364,364
account,2280,1386,2253,1375,44.71,3.3581,16.52,3.1421,Noun,1587.0,0.7,Noun.Preposition.Verb,1587.355.335,355
aboard,1358,709,1335,706,26.63,3.1332,8.45,2.8513,Adverb,1006.0,0.75,Adverb.Preposition,1006.342,342
regarding,432,381,376,334,8.47,2.6365,4.54,2.5821,Preposition,316.0,0.73,Preposition.Verb,316.116,316
unlike,530,480,350,330,10.39,2.7251,5.72,2.6821,Preposition,313.0,0.59,Preposition.Adjective,313.217,313
minus,401,250,322,203,7.86,2.6042,2.98,2.3997,Preposition,292.0,0.73,Preposition.Noun,292.107,292
depending,306,285,261,246,6.0,2.4871,3.4,2.4564,Preposition,273.0,0.89,Preposition.Verb.Adjective,273.33.2,273
spite,388,336,382,334,7.61,2.5899,4.01,2.5276,Preposition,272.0,0.7,Preposition.Noun.Verb,272.105.11,272
aside,1212,980,1067,877,23.76,3.0839,11.68,2.9917,Adverb,948.0,0.78,Adverb.Preposition.Noun,948.259.3,259
apart,2398,1821,2281,1748,47.02,3.38,21.71,3.2605,Adverb,2146.0,0.9,Adverb.Preposition,2146.251,251
terms,1138,863,1123,851,22.31,3.0565,10.29,2.9365,Noun,892.0,0.79,Noun.Preposition.Verb,892.238.5,238
rather,5825,3305,5546,3236,114.22,3.7654,39.4,3.5193,Adverb,5379.0,0.92,Adverb.Conjunction.Preposition,5379.239.207,207
save,8278,4028,6788,3612,162.31,3.918,48.02,3.6052,Verb,7946.0,0.96,Verb.Preposition.Conjunction.Noun,7946.199.79.39,199
vs,206,158,197,151,4.04,2.316,1.88,2.2014,Preposition,196.0,1.0,Preposition,196,196
prior,422,336,379,312,8.27,2.6263,4.01,2.5276,Adjective,191.0,0.45,Adjective.Preposition.Adverb.Name,191.190.33.8,190
need,66040,8076,65122,8064,1294.9,4.8198,96.28,3.9073,Verb,62816.0,0.95,Verb.Noun.Preposition,62816.3338.189,189
addition,395,361,392,359,7.75,2.5977,4.3,2.5587,Preposition,185.0,0.47,Preposition.Noun.Adverb,185.148.59,185
