Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Verb_freq
had,85472,8224,84157,8215,1675.92,4.9318,98.04,3.9151,Verb,88465.0,1.0,Verb.Noun.Name,88465.37.1,88465
tell,87949,8121,71814,8051,1724.49,4.9442,96.82,3.9097,Verb,87756.0,1.0,Verb.Name.Noun,87756.62.4,87756
say,83629,8231,76545,8211,1639.78,4.9224,98.13,3.9155,Verb,83066.0,0.99,Verb.Noun.Adverb.Name,83066.418.40.2,83066
make,70775,8215,64730,8183,1387.75,4.8499,97.94,3.9147,Verb,70408.0,1.0,Verb.Noun.Name,70408.299.1,70408
like,203947,8341,190081,8340,3998.96,5.3095,99.44,3.9213,Preposition,111581.0,0.55,Preposition.Verb.Conjunction.Adverb.Adjective.Noun.Name,111581.69662.11417.6065.4991.67.7,69662
does,34002,7665,26521,7313,666.71,4.5315,91.38,3.8846,Verb,66194.0,1.0,Verb.Noun,66194.9,66194
need,66040,8076,65122,8064,1294.9,4.8198,96.28,3.9073,Verb,62816.0,0.95,Verb.Noun.Preposition,62816.3338.189,62816
has,57830,8074,55273,8035,1133.92,4.7622,96.26,3.9071,Verb,62388.0,1.0,Verb.Noun.Name,62388.14.1,62388
should,54159,8129,51109,8093,1061.94,4.7337,96.91,3.9101,Verb,61902.0,1.0,Verb.Noun,61902.1,61902
mean,63443,8032,63218,8027,1243.98,4.8024,95.76,3.9049,Verb,61291.0,0.97,Verb.Adjective.Noun,61291.1956.151,61291
give,59559,8088,43928,7883,1167.82,4.775,96.42,3.9079,Verb,59457.0,1.0,Verb.Noun,59457.2,59457
thank,56877,7790,13010,5332,1115.24,4.7549,92.87,3.8916,Verb,56748.0,1.0,Verb,56748,56748
said,56531,8026,55668,8016,1108.45,4.7523,95.68,3.9046,Verb,56297.0,1.0,Verb.Adjective.Name.Noun,56297.155.43.8,56297
doing,52492,7954,51900,7950,1029.25,4.7201,94.83,3.9006,Verb,52471.0,1.0,Verb.Noun,52471.12,52471
am,56438,7983,52421,7914,1106.63,4.7516,95.17,3.9022,Verb,49133.0,0.98,Verb.Adverb.Noun,49133.1182.3,49133
put,42251,7840,33394,7630,828.45,4.6258,93.47,3.8944,Verb,42186.0,1.0,Verb.Noun.Name,42186.17.1,42186
