Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adverb_freq
uptown,246,156,198,140,4.82,2.3927,1.86,2.1959,Adverb,199.0,0.81,Adverb.Adjective,199.47,199
privately,198,176,175,157,3.88,2.2989,2.1,2.248,Adverb,198.0,1.0,Adverb,198,198
without,18087,6512,16187,6282,354.65,4.2574,77.63,3.8138,Preposition,17868.0,0.99,Preposition.Adverb.Noun,17868.196.2,196
incidentally,193,165,91,84,3.78,2.2878,1.97,2.2201,Adverb,194.0,1.0,Adverb,194,194
successfully,194,184,185,175,3.8,2.29,2.19,2.2672,Adverb,193.0,1.0,Adverb,193,193
jolly,382,235,291,185,7.49,2.5832,2.8,2.3729,Adverb,191.0,0.5,Adverb.Adjective.Verb,191.175.15,191
rapidly,189,160,181,157,3.71,2.2788,1.91,2.2068,Adverb,188.0,1.0,Adverb,188,188
overseas,233,173,222,167,4.57,2.3692,2.06,2.2405,Adverb,186.0,0.8,Adverb.Adjective,186.47,186
general,5885,1589,2111,1064,115.39,3.7698,18.94,3.2014,Noun,3770.0,0.64,Noun.Adjective.Adverb.Name,3770.1899.185.22,185
being,24781,7083,23724,7019,485.9,4.3941,84.44,3.8503,Verb,22881.0,0.92,Verb.Noun.Adverb,22881.1711.184,184
vain,332,251,317,241,6.51,2.5224,2.99,2.4014,Adverb,184.0,0.55,Adverb.Adjective,184.148,184
likewise,182,172,48,47,3.57,2.2625,2.05,2.238,Adverb,182.0,1.0,Adverb,182,182
slower,264,228,228,208,5.18,2.4232,2.72,2.3598,Adverb,177.0,0.67,Adverb.Adjective,177.87,177
partly,175,145,143,124,3.43,2.2455,1.73,2.1644,Adverb,174.0,0.99,Adverb.Noun,174.1,174
farther,287,231,278,226,5.63,2.4594,2.75,2.3655,Adverb,171.0,0.6,Adverb.Adjective,171.116,171
potentially,171,152,158,140,3.35,2.2355,1.81,2.1847,Adverb,171.0,1.0,Adverb,171,171
regularly,172,161,167,156,3.37,2.238,1.92,2.2095,Adverb,171.0,1.0,Adverb,171,171
undoubtedly,171,142,120,105,3.35,2.2355,1.69,2.1553,Adverb,171.0,1.0,Adverb,171,171
specially,171,149,138,125,3.35,2.2355,1.78,2.1761,Adverb,169.0,1.0,Adverb,169,169
frequently,167,152,156,142,3.27,2.2253,1.81,2.1847,Adverb,167.0,1.0,Adverb,167,167
essentially,166,140,128,112,3.25,2.2227,1.67,2.1492,Adverb,166.0,1.0,Adverb,166,166
relatively,166,152,155,144,3.25,2.2227,1.81,2.1847,Adverb,166.0,1.0,Adverb,166,166
seldom,167,148,157,140,3.27,2.2253,1.76,2.1732,Adverb,166.0,1.0,Adverb,166,166
remotely,164,155,163,154,3.22,2.2175,1.85,2.1931,Adverb,164.0,1.0,Adverb,164,164
surprisingly,162,149,117,110,3.18,2.2122,1.78,2.1761,Adverb,162.0,1.0,Adverb,162,162
briefly,163,153,132,126,3.2,2.2148,1.82,2.1875,Adverb,161.0,0.99,Adverb.Noun,161.2,161
roughly,160,147,128,119,3.14,2.2068,1.75,2.1703,Adverb,160.0,1.0,Adverb,160,160
hell,24012,5843,21531,5678,470.82,4.3804,69.66,3.7667,Noun,23950.0,0.99,Noun.Adverb.Name,23950.157.3,157
proudly,175,152,133,120,3.43,2.2455,1.81,2.1847,Adverb,157.0,1.0,Adverb,157,157
madly,155,130,151,128,3.04,2.1931,1.55,2.1173,Adverb,155.0,1.0,Adverb,155,155
higher,1420,1023,1273,952,27.84,3.1526,12.2,3.0103,Adjective,1264.0,0.89,Adjective.Adverb,1264.153,153
severely,154,140,147,134,3.02,2.1903,1.67,2.1492,Adverb,153.0,1.0,Adverb,153,153
awful,3234,2092,3046,2029,63.41,3.5099,24.94,3.3208,Adjective,3079.0,0.95,Adjective.Adverb,3079.152,152
preferably,152,144,68,67,2.98,2.1847,1.72,2.1614,Adverb,152.0,1.0,Adverb,152,152
secondly,152,134,57,49,2.98,2.1847,1.6,2.1303,Adverb,152.0,1.0,Adverb,152,152
large,2114,1480,1979,1429,41.45,3.3253,17.64,3.1706,Adjective,1963.0,0.93,Adjective.Adverb,1963.151,151
solo,436,290,371,263,8.55,2.6405,3.46,2.4639,Noun,263.0,0.61,Noun.Adverb.Name.Adjective,263.151.17.2,151
politically,150,124,138,117,2.94,2.179,1.48,2.0969,Adverb,150.0,1.0,Adverb,150,150
bleeding,1516,1006,1461,986,29.73,3.181,11.99,3.003,Verb,777.0,0.51,Verb.Adjective.Adverb,777.591.149,149
wild,2923,1777,2378,1582,57.31,3.466,21.19,3.2499,Adjective,2764.0,0.95,Adjective.Adverb.Noun.Name,2764.149.3.1,149
socially,148,126,132,115,2.9,2.1732,1.5,2.1038,Adverb,147.0,1.0,Adverb,147,147
furthermore,146,134,58,54,2.86,2.1673,1.6,2.1303,Adverb,146.0,1.0,Adverb,146,146
